レアはようやくマルクの裏切りに気づいた。	Léa a fini par se rendre compte que Marc la trompait.
レアは人づてにマルクの浮気を知った。	Léa a appris par quelqu’un que Marc la trompait.
レアはついに事実を受け入れた。	Léa a fini par accepter la vérité.
彼は浮気をやめる決意を固めた。	Il a pris la ferme décision d’arrêter d’être infidèle.
彼は今後は誠実でいようと心に誓った。	Il s’est juré d’être fidèle désormais.
彼はやめるべきだと自分に言い聞かせた。	Il s’est dit qu’il devrait arrêter.
この問題は来年中に解決すると見込まれる。	On prévoit que ce problème sera résolu l’an prochain.
うまくいけば来年には片づくはずだ。	Si tout va bien, ce problème sera réglé l’année prochaine.
最新巻、率直な感想は？	Franchement, qu’est-ce que tu penses du dernier tome ?
彼女は周囲から良く思われたいと思っている。	Elle veut être bien vue par son entourage.
あやうく忘れるところだったよ。	J’ai failli oublier !
その約束はもちろん覚えている。	Bien sûr, je n’ai pas oublié cette promesse.
次の月曜までに暗記して提出してください。	Apprenez-le par cœur pour lundi prochain.
マルクは取引先の名前をうまく覚えられない。	Marc n’arrive pas à retenir le nom de ses clients.
その日は土砂降りだったのをよく覚えている。	Je me rappelle bien qu’il pleuvait des cordes ce jour-là.
事故の瞬間をできる限り思い出してみて。	Essayez de vous rappeler autant que possible le moment de l’accident.
正月に食べすぎて後悔している。	J’ai trop mangé au Nouvel An, je le regrette.
正月は食べ過ぎた—あそこまで食べるべきじゃなかった。	J’ai trop mangé au Nouvel An : je n’aurais pas dû autant manger.
彼はこんな失敗で諦めるタイプじゃない。	Ce n’est pas le genre à renoncer pour un tel échec.
人間がAIに負けるなんて信じがたい。	Il est difficile de croire que l’homme perde face à l’IA.
こんな結末、想像もしていなかった。	Je n’avais pas imaginé une telle issue.
こんなはずじゃなかった、本当に。	Ça ne devait vraiment pas se passer comme ça.
フランス語を褒められて嬉しくなった。	Ça m’a fait plaisir d’être complimenté(e) sur mon français.
彼は公務員を経て実業家になった。	Il est passé de fonctionnaire à entrepreneur.
この三ヶ月で景気は悪化の一途だ。	Ces trois derniers mois, la conjoncture n’a fait qu’empirer.
博士課程に進んでから本気で勉強し始めた。	Depuis qu’elle est en doctorat, elle s’est mise sérieusement à étudier.
社長のいつもの自慢話がまた始まったよ。	Le président a recommencé ses vantardises habituelles.
マルクと一緒にいてもあまり楽しくない。	Je ne m’amuse pas beaucoup avec Marc.
昨日、まゆは彼氏と歩いていて本当に楽しそうだった。	Hier, Mayu marchait avec son petit ami ; elle avait l’air de bien s’amuser.
直樹とのデートは退屈だ。	Les rendez-vous avec Naoki sont ennuyeux.
まゆ、マルクとのデート、すごく楽しんでたみたい。	Mayu avait l’air de bien s’amuser pendant son rendez-vous avec Marc.
直樹、何がそんなに嬉しいの？	Naoki, qu’est-ce qui te rend si joyeux ?
この件について教えていただければ幸いです。	Je vous serais reconnaissant(e) de bien vouloir me renseigner à ce sujet.
今日は嬉しい気分なんだ。	Aujourd’hui, je suis d’humeur joyeuse.
彼女は子どもの成長を見るのを心から楽しみにしている。	Elle se fait une joie de voir grandir ses enfants.
まゆはリヨンでの生活を満喫しているみたい。	Il paraît que Mayu profite bien de sa vie à Lyon.
仕事が見つかったの？よかったね！	Tu as trouvé du travail ? Je suis content(e) pour toi !
前の会社が倒産して、早めに辞めて正解だった。	Mon ancienne entreprise a fait faillite ; j’ai eu raison de l’avoir quittée tôt.
天気が心配だったけど、結局晴れてよかった。	La météo m’inquiétait, mais finalement il fait beau, tant mieux.
中学のとき数学は一番苦手だった。	Au collège, les maths étaient le cours où j’étais le moins bon / la moins bonne.
彼には子どもの頃のつらい思い出がある。	Il garde en mémoire un souvenir d’enfance douloureux.
直樹が似合わないスーツを着ているのは見ていてつらい。	C’est pénible de voir Naoki porter un costume qui ne lui va pas.
人前で話すのは苦手じゃない？	Tu n’as pas du mal à parler en public ?
そんなに褒められると照れくさい。	Ça me gêne quand tu me flattes autant.
テレビに出るのはちょっと気が引ける。	Ça me met mal à l’aise d’apparaître à la télévision.
直樹がモテるの、正直うらやましい。	Je suis jaloux / jalouse que Naoki ait tant de succès.
マルクは起業に失敗して金銭面で困っている。	Marc a échoué dans son projet d’entreprise et a des problèmes d’argent.
彼は到底60歳には見えない。	Il n’a pas du tout l’air d’avoir soixante ans.
姑の誕生日会、あまり気が進まない。	Je n’ai pas trop envie d’aller à l’anniversaire de ma belle-mère.
まだ彼女は25歳なんだよ。	Elle n’a que vingt-cinq ans.
